weightKg,pressureAltitudeFt,temperatureC,takeoffGroundRollM,takeoffOver50M,headwindTO%/kt,tailwindTO%/kt
700,4000,5,367,472,2.43,2.38
720,4000,5,392,505,2.41,0.88
740,4000,5,420,541,2.39,1.38
760,4000,5,447,580,2.38,0.48
780,4000,5,475,619,2.37,2.13
800,4000,5,505,662,2.35,2.35
600,4000,10,268,345,2.58,2.38
620,4000,10,290,372,2.54,1.16
640,4000,10,313,401,2.51,1.75
660,4000,10,336,432,2.47,0.22
680,4000,10,361,464,2.44,1.97
700,4000,10,387,498,2.41,0.32
720,4000,10,413,533,2.39,1.83
740,4000,10,442,573,2.38,0.15
760,4000,10,471,613,2.37,1.9
780,4000,10,501,655,2.36,2.05
800,4000,10,532,705,2.33,0.82
600,4000,15,283,363,2.56,0.05
620,4000,15,306,392,2.52,2.38
640,4000,15,329,423,2.48,0.33
660,4000,15,354,455,2.45,1.53
680,4000,15,380,489,2.42,1.7
700,4000,15,407,524,2.4,2.28
720,4000,15,436,563,2.39,0.28
740,4000,15,466,606,2.37,1.61
760,4000,15,496,649,2.36,1.14
780,4000,15,527,697,2.33,1.07
800,4000,15,559,750,2.3,0.63
600,4000,20,297,381,2.53,2.24
620,4000,20,321,412,2.49,0.99
640,4000,20,346,445,2.46,0.96
660,4000,20,372,479,2.43,2.72
680,4000,20,400,514,2.4,2.34
700,4000,20,428,553,2.39,0.76
720,4000,20,458,594,2.38,1.12
740,4000,20,490,640,2.36,0.16
760,4000,20,521,687,2.34,1.43
780,4000,20,553,740,2.3,0.33
800,4000,20,587,795,2.28,1.95
600,4000,25,312,400,2.51,1.78
620,4000,25,338,434,2.47,0.33
640,4000,25,364,468,2.44,2.18
660,4000,25,391,504,2.41,0.66
680,4000,25,421,542,2.39,1.31
700,4000,25,451,584,2.38,0.69
720,4000,25,481,628,2.37,1.98
740,4000,25,515,677,2.34,1.78
760,4000,25,547,730,2.31,0
780,4000,25,581,786,2.28,1.68
800,4000,25,617,847,2.26,1.74
600,4000,30,327,419,2.48,0.53
620,4000,30,354,455,2.45,1.51
640,4000,30,381,491,2.42,1.45
660,4000,30,410,528,2.4,2.06
680,4000,30,441,571,2.38,0.1
700,4000,30,473,615,2.37,2
720,4000,30,505,662,2.35,2.35
740,4000,30,539,717,2.32,0.41
760,4000,30,573,773,2.29,1.31
780,4000,30,609,833,2.26,2.13
800,4000,30,647,902,2.25,0.28
600,4000,35,343,440,2.46,0.7
620,4000,35,372,478,2.43,2.67
640,4000,35,400,515,2.4,2.41
660,4000,35,431,557,2.39,0.6
680,4000,35,464,603,2.38,1.48
700,4000,35,496,649,2.36,1.2
720,4000,35,530,702,2.33,0.91
740,4000,35,565,760,2.29,0.92
760,4000,35,602,819,2.27,1.87
780,4000,35,640,889,2.25,0.61
800,4000,35,680,961,2.23,1.13
600,4000,40,359,461,2.44,1.83
620,4000,40,389,501,2.41,0.18
640,4000,40,419,540,2.39,1.43
660,4000,40,451,585,2.38,0.73
680,4000,40,486,634,2.37,0.97
700,4000,40,520,685,2.34,1.49
720,4000,40,555,743,2.3,0.4
740,4000,40,591,802,2.27,2.14
760,4000,40,631,871,2.25,1.07
780,4000,40,671,945,2.24,0.76
800,4000,40,712,1008,2.22,2.35
600,6000,-20,233,301,2.66,0.7
620,6000,-20,251,324,2.62,2.45
640,6000,-20,271,348,2.58,1.96
660,6000,-20,291,374,2.54,1.39
680,6000,-20,312,400,2.51,1.78
700,6000,-20,335,430,2.47,0.11
720,6000,-20,358,460,2.44,1.76
740,6000,-20,382,491,2.42,1.31
760,6000,-20,407,524,2.4,2.28
780,6000,-20,433,560,2.39,0.46
800,6000,-20,460,597,2.38,1.26
600,6000,-15,246,318,2.63,1.99
620,6000,-15,266,342,2.59,2.86
640,6000,-15,287,368,2.55,0.64
660,6000,-15,308,395,2.51,2.12
680,6000,-15,331,424,2.48,0.23
700,6000,-15,355,456,2.45,1.54
720,6000,-15,379,487,2.42,1.98
740,6000,-15,405,521,2.4,2.48
760,6000,-15,432,558,2.39,0.54
780,6000,-15,459,595,2.38,1.18
800,6000,-15,488,636,2.36,0.63
600,6000,-10,260,335,2.6,3.16
620,6000,-10,280,360,2.56,0.33
640,6000,-10,303,388,2.52,2.68
660,6000,-10,326,418,2.49,0.64
680,6000,-10,349,448,2.45,1.16
700,6000,-10,374,481,2.43,2.83
720,6000,-10,400,515,2.4,2.42
740,6000,-10,428,553,2.39,0.8
760,6000,-10,456,592,2.38,1.02
780,6000,-10,485,632,2.37,1.29
800,6000,-10,515,677,2.34,1.77
600,6000,-5,275,353,2.57,1.3
620,6000,-5,297,380,2.53,2.16
640,6000,-5,320,410,2.49,1.12
660,6000,-5,344,442,2.46,0.8
680,6000,-5,369,475,2.43,2.51
700,6000,-5,396,509,2.4,1.51
720,6000,-5,423,546,2.39,1.15
740,6000,-5,452,587,2.38,0.8
760,6000,-5,482,628,2.37,1.87
780,6000,-5,512,673,2.35,1.94
800,6000,-5,543,724,2.31,0.18
600,6000,0,289,371,2.54,1.09
620,6000,0,313,401,2.51,1.72
640,6000,0,337,433,2.47,0.28
660,6000,0,363,466,2.44,2.09
680,6000,0,389,501,2.41,0.2
700,6000,0,417,538,2.39,1.56
720,6000,0,446,577,2.38,0.38
740,6000,0,477,621,2.37,2.23
760,6000,0,508,665,2.35,2.2
780,6000,0,539,717,2.32,0.41
800,6000,0,572,771,2.29,1.25
600,6000,5,306,392,2.52,2.37
